,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
105,14.119832751102772,92.4,1.0,0.5,0.5127787451553109,21.9,6.6,27.5,11.5,20.0,5.6,0.7889105058365758,1
106,13.561765263627708,95.6,0.3,0.0,0.5081872312272577,23.0,6.9,29.7,14.4,17.6,9.0,0.7680822183439985,1
107,16.580405797805447,82.6,8.1,0.5,0.5176337326775109,19.1,9.0,31.8,11.2,13.3,7.2,0.6518443771723287,1
108,14.141787841671004,93.0,2.9,0.0,0.5115622925425979,14.4,8.7,31.4,12.6,13.9,5.1,0.8229166666666666,1
109,15.431660825365023,93.9,1.0,0.3,0.5066180962508767,15.9,7.0,27.8,9.8,13.4,7.3,0.7778732809430255,1
110,14.435279586644082,55.2,29.5,0.1,0.531461587072312,25.3,6.4,26.9,13.2,17.4,6.8,0.6498037505451374,1
111,15.031011907437708,82.8,10.9,0.3,0.483452807646356,15.8,6.2,30.4,13.8,15.3,5.1,0.7274308300395257,1
112,13.717676423066395,65.0,20.9,0.2,0.5114311163895487,21.0,5.7,27.1,17.2,15.9,6.4,0.692655832133306,1
113,15.17901490170221,89.2,1.9,0.7,0.5133299188613635,18.5,6.0,29.6,13.9,15.6,6.4,0.7674466198239989,1
114,13.722914235436516,93.5,1.9,0.2,0.4844316248798165,17.7,9.6,30.3,10.2,16.1,8.1,0.7895993179880648,1
115,14.089202175838755,77.2,16.9,0.0,0.5080039015434047,25.1,7.0,22.3,15.4,15.8,7.6,0.7006630265210608,1
116,16.123090793678053,39.6,56.3,0.8,0.5074608045059056,24.7,10.0,27.9,7.2,25.7,4.1,0.3768603546548448,0
117,14.67479914956536,80.3,1.6,1.6,0.5038424775377557,22.5,4.7,25.9,12.7,14.5,6.2,0.7230849400729547,1
118,12.783612165256038,59.3,37.8,0.4,0.5092894624875904,23.8,8.3,26.9,13.9,20.6,8.2,0.6536458333333334,1
119,14.03419714109205,95.8,0.9,0.1,0.5061691601597426,18.4,8.2,27.9,12.9,19.6,7.0,0.7732272804196988,1
